,ubicación,precio,detalles,tipo_vivienda,barrios,habitaciones,metros
20,Dúplex en paseo de la Direccion  Berruguete  Madrid,1600,3 hab 145 m Planta 4 exterior con ascensor 16 horas,Dúplex,"Berruguete, Madrid",3 hab, 145 m
21,Piso en Palacio  Madrid,2750,3 hab 135 m Planta 3 exterior con ascensor,Piso,"Palacio, Madrid",3 hab, 135 m
22,Piso en calle de WadRas  Bellas Vistas  Madrid,780,2 hab 42 m Bajo interior sin ascensor 16 horas,Piso,"Bellas vistas, Madrid",2 hab, 42 m
23,Piso en calle de Tortosa  Palos de Moguer  Madrid,1800,2 hab 80 m Planta 3 exterior con ascensor,Piso,"Palos de Moguer, Madrid",2 hab, 80 m
24,Piso en calle del Barco  9  MalasañaUniversidad  Madrid,1050,2 hab 65 m Planta 2 interior con ascensor 16 horas,Piso,"Universidad, Madrid",2 hab, 65 m
25,Piso en Almagro  Madrid,1900,1 hab 97 m Entreplanta exterior con ascensor,Piso,"Almagro, Madrid",1 hab, 97 m
26,Piso en Segovia  Palacio  Madrid,970,2 hab 37 m Bajo interior sin ascensor 16 horas,Piso,"Palacio, Madrid",2 hab, 37 m
27,Ático en Ciudad Jardín  Madrid,4700,3 hab 228 m Planta 7 exterior con ascensor 22 horas,Ático,"Ciudad Jardín, Madrid",3 hab, 228 m
28,Piso en calle de Sánchez Barcáiztegui  Pacífico  Madrid,2000,4 hab 106 m Planta 3 exterior con ascensor 3 horas,Piso,"Pacífico, Madrid",4 hab, 106 m
29,Piso en calle de la Sierra de los Filabres  37  Numancia  Madrid,620,1 hab 25 m Planta 1 interior sin ascensor,Piso,"Numancia, Madrid",1 hab, 25 m
0,Piso en calle de Sánchez Barcáiztegui  Pacífico  Madrid,2000,4 hab 106 m Planta 3 exterior con ascensor 3 horas,Piso,"Pacífico, Madrid",4 hab, 106 m
1,Piso en calle de la Sierra de los Filabres  37  Numancia  Madrid,620,1 hab 25 m Planta 1 interior sin ascensor,Piso,"Numancia, Madrid",1 hab, 25 m
2,Chalet adosado en Aravaca  Madrid,2900,3 hab 120 m 16 horas,Chalet,"Aravaca, Madrid",3 hab, 120 m
3,Estudio en calle Galería de Robles  MalasañaUniversidad  Madrid,850,45 m Bajo interior sin ascensor,Estudio,"Universidad, Madrid",0 estudio,0 estudio
4,Piso en calle de Valencia  LavapiésEmbajadores  Madrid,750,1 hab 33 m Planta 1 interior sin ascensor 16 horas,Piso,"Embajadores, Madrid",1 hab, 33 m
5,Piso en paseo de Santa María de la Cabeza  Chopera  Madrid,1590,2 hab 90 m Planta 2 exterior con ascensor,Piso,"Chopera, Madrid",2 hab, 90 m
6,Estudio en calle Embalse de Navacerrada  Ensanche de Vallecas  La Gavia  Madrid,795,33 m Planta 5 exterior con ascensor 17 horas,Estudio,"Gavia, Madrid",0 estudio,0 estudio
7,Piso en calle Sandalio López  Tres Olivos  Valverde  Madrid,950,1 hab 35 m Bajo exterior sin ascensor,Piso,"Valverde, Madrid",1 hab, 35 m
8,Piso en calle Martínez Corrochano  29  Adelfas  Madrid,800,1 hab 40 m Planta 1 exterior con ascensor 17 horas,Piso,"Adelfas, Madrid",1 hab, 40 m
9,Piso en Jerte  Palacio  Madrid,1090,1 hab 55 m Planta 3 interior con ascensor,Piso,"Palacio, Madrid",1 hab, 55 m
10,Piso en plaza de Andrés Manjón  7  Castilla  Madrid,1400,2 hab 75 m Bajo exterior con ascensor 17 horas,Piso,"Castilla, Madrid",2 hab, 75 m
11,Piso en calle de la Reina Mercedes  8  Cuatro Caminos  Madrid,990,1 hab 55 m Bajo exterior sin ascensor,Piso,"Cuatro Caminos, Madrid",1 hab, 55 m
12,Piso en calle de Bretón de los Herreros  20  Nuevos MinisteriosRíos Rosas  Madrid,900,2 hab 50 m Planta 1 interior con ascensor 17 horas,Piso,"Ríos Rosas, Madrid",2 hab, 50 m
13,Piso en calle de Aniceto Pérez  12 de OctubreOrcasur  Madrid,990,2 hab 45 m Bajo exterior con ascensor,Piso,"Orcasur, Madrid",2 hab, 45 m
14,Ático en calle de Luchana  Trafalgar  Madrid,4300,3 hab 184 m Planta 7 exterior con ascensor 15 horas,Ático,"Trafalgar, Madrid",3 hab, 184 m
15,Piso en calle de la Ribera de Curtidores  LavapiésEmbajadores  Madrid,1250,1 hab 55 m Planta 3 exterior con ascensor,Piso,"Embajadores, Madrid",1 hab, 55 m
16,Piso en Goya  Madrid,990,1 hab 65 m Planta 5 exterior con ascensor 17 horas,Piso,"Goya, Madrid",1 hab, 65 m
17,Piso en calle Calatrava  Palacio  Madrid,950,1 hab 50 m Planta 3 interior sin ascensor,Piso,"Palacio, Madrid",1 hab, 50 m
18,Estudio en MalasañaUniversidad  Madrid,1000,35 m Planta 2 interior con ascensor 17 horas,Estudio,"Universidad, Madrid",0 estudio,0 estudio
19,Estudio en calle Mayor  Sol  Madrid,1050,35 m Planta 3 exterior con ascensor,Estudio,"Sol, Madrid",0 estudio,0 estudio
20,Piso en calle de Ibiza  Ibiza  Madrid,2000,1 hab 87 m Planta 2 exterior con ascensor 17 horas,Piso,"Ibiza, Madrid",1 hab, 87 m
21,Piso en calle del Marqués de Mondéjar  Fuente del Berro  Madrid,1150,1 hab 50 m Planta 1 interior sin ascensor,Piso," Fuente del Berro, Madrid",1 hab, 50 m
22,Ático en calle de Alcántara  Lista  Madrid,2900,3 hab 120 m Planta 7 exterior con ascensor 15 horas,Ático,"Lista, Madrid",3 hab, 120 m
23,Piso en calle Tírvia  Ciudad Universitaria  Madrid,1050,1 hab 43 m Bajo exterior sin ascensor 30 ago,Piso,"Ciudad Universitaria, Madrid",1 hab, 43 m
24,Piso en Calamón  Campamento  Madrid,2100,3 hab 74 m Planta 3 exterior sin ascensor 17 horas,Piso,"Campamento, Madrid",3 hab, 74 m
25,Ático en calle de la Princesa  26  MalasañaUniversidad  Madrid,1360,2 hab 60 m Planta 5 interior con ascensor,Ático,"Universidad, Madrid",2 hab, 60 m
26,Dúplex en san Juan de Ortega  100  Las Tablas  Madrid,2100,2 hab 105 m Planta 5 interior con ascensor 17 horas,Dúplex,"Tablas, Madrid",2 hab, 105 m
27,Estudio en Lagasca  Recoletos  Madrid,1100,32 m Planta 4 interior con ascensor,Estudio,"Recoletos, Madrid",0 estudio,0 estudio
28,Estudio en calle de Don Ramón de la Cruz  62  Goya  Madrid,1500,42 m Planta 3 exterior con ascensor 17 horas,Estudio,"Goya, Madrid",0 estudio,0 estudio
29,Piso en ronda de Segovia  50  Imperial  Madrid,1700,3 hab 110 m Planta 1 exterior con ascensor 23 horas,Piso,"Imperial, Madrid",3 hab, 110 m
0,Dúplex en san Juan de Ortega  100  Las Tablas  Madrid,2100,2 hab 105 m Planta 5 interior con ascensor 17 horas,Dúplex,"Tablas, Madrid",2 hab, 105 m
1,Piso en calle de Cardenal Mendoza  Puerta del Ángel  Madrid,1100,1 hab 65 m Bajo exterior con ascensor 13 horas,Piso,"Puerta del Ángel, Madrid",1 hab, 65 m
2,Estudio en calle de Don Ramón de la Cruz  62  Goya  Madrid,1500,42 m Planta 3 exterior con ascensor 17 horas,Estudio,"Goya, Madrid",0 estudio,0 estudio
3,Piso en calle Solana de Luche  Puerta del Ángel  Madrid,1350,3 hab 70 m Planta 2 exterior sin ascensor 13 horas,Piso,"Puerta del Ángel, Madrid",3 hab, 70 m
4,Piso en paseo San Francisco de Sales  Vallehermoso  Madrid,2350,2 hab 93 m Planta 1 exterior con ascensor 17 horas,Piso,"Vallehermoso, Madrid",2 hab, 93 m
5,Piso en calle industria  Puerta del Ángel  Madrid,1050,1 hab 50 m Planta 2 exterior con ascensor 13 horas,Piso,"Puerta del Ángel, Madrid",1 hab, 50 m
6,Piso en calle de Costa Rica  14  BernabéuHispanoamérica  Madrid,1450,2 hab 75 m Bajo exterior con ascensor 17 horas,Piso,"Hispanoamérica, Madrid",2 hab, 75 m
7,Piso en calle industria  Puerta del Ángel  Madrid,1050,1 hab 50 m Planta 1 exterior con ascensor 13 horas,Piso,"Puerta del Ángel, Madrid",1 hab, 50 m
8,Piso en Ignacio Ellacuria  18  Ventas  Madrid,800,1 hab 57 m Bajo exterior con ascensor 17 horas,Piso,"Ventas, Madrid",1 hab, 57 m
9,Piso en Blasco de Garay  Arapiles  Madrid,1900,2 hab 92 m Planta 6 exterior con ascensor,Piso,"Arapiles, Madrid",2 hab, 92 m
